src,tar,src_type,tar_type
_073368_/A,_073368_,pin,cell
_073368_,_073368_/Y,cell,pin
_073369_/A,_073369_,pin,cell
_073369_,_073369_/Y,cell,pin
_073370_/A,_073370_,pin,cell
_073370_,_073370_/Y,cell,pin
_073371_/A,_073371_,pin,cell
_073371_,_073371_/Y,cell,pin
_073372_/A,_073372_,pin,cell
_073372_,_073372_/Y,cell,pin
_073373_/A,_073373_,pin,cell
_073373_,_073373_/Y,cell,pin
_073374_/A,_073374_,pin,cell
_073374_,_073374_/Y,cell,pin
_073375_/A,_073375_,pin,cell
_073375_,_073375_/Y,cell,pin
_073376_/A,_073376_,pin,cell
_073376_,_073376_/Y,cell,pin
_073377_/A,_073377_,pin,cell
_073377_,_073377_/Y,cell,pin
_073378_/A,_073378_,pin,cell
_073378_,_073378_/Y,cell,pin
_073379_/A,_073379_,pin,cell
_073379_,_073379_/Y,cell,pin
_073380_/A,_073380_,pin,cell
_073380_,_073380_/Y,cell,pin
_073381_/A,_073381_,pin,cell
_073381_,_073381_/Y,cell,pin
_073382_/A,_073382_,pin,cell
_073382_,_073382_/Y,cell,pin
_073383_/A,_073383_,pin,cell
_073383_,_073383_/Y,cell,pin
_073384_/A,_073384_,pin,cell
_073384_,_073384_/Y,cell,pin
_073385_/A,_073385_,pin,cell
_073385_,_073385_/Y,cell,pin
_073386_/A,_073386_,pin,cell
_073386_,_073386_/Y,cell,pin
_073387_/A,_073387_,pin,cell
_073387_,_073387_/Y,cell,pin
_073388_/A,_073388_,pin,cell
_073388_,_073388_/Y,cell,pin
_073389_/A,_073389_,pin,cell
_073389_,_073389_/Y,cell,pin
_073390_/A,_073390_,pin,cell
_073390_,_073390_/Y,cell,pin
_073391_/A,_073391_,pin,cell
_073391_,_073391_/Y,cell,pin
_073392_/A,_073392_,pin,cell
_073392_,_073392_/Y,cell,pin
_073393_/A,_073393_,pin,cell
_073393_,_073393_/Y,cell,pin
_073394_/A,_073394_,pin,cell
_073394_,_073394_/Y,cell,pin
_073395_/A,_073395_,pin,cell
_073395_,_073395_/Y,cell,pin
_073396_/A,_073396_,pin,cell
_073396_,_073396_/Y,cell,pin
_073397_/A,_073397_,pin,cell
_073397_,_073397_/Y,cell,pin
_073398_/A,_073398_,pin,cell
_073398_,_073398_/Y,cell,pin
_073399_/A,_073399_,pin,cell
_073399_,_073399_/Y,cell,pin
_073400_/A,_073400_,pin,cell
_073400_,_073400_/Y,cell,pin
_073401_/A,_073401_,pin,cell
_073401_,_073401_/Y,cell,pin
_073402_/A,_073402_,pin,cell
_073402_,_073402_/Y,cell,pin
_073403_/A,_073403_,pin,cell
_073403_,_073403_/Y,cell,pin
_073404_/A,_073404_,pin,cell
_073404_,_073404_/Y,cell,pin
_073405_/A,_073405_,pin,cell
_073405_,_073405_/Y,cell,pin
_073406_/A,_073406_,pin,cell
_073406_,_073406_/Y,cell,pin
_073407_/A,_073407_,pin,cell
_073407_,_073407_/Y,cell,pin
_073408_/A,_073408_,pin,cell
_073408_,_073408_/Y,cell,pin
_073409_/A,_073409_,pin,cell
_073409_,_073409_/Y,cell,pin
_073410_/A,_073410_,pin,cell
_073410_,_073410_/Y,cell,pin
_073411_/A,_073411_,pin,cell
_073411_,_073411_/Y,cell,pin
_073412_/A,_073412_,pin,cell
_073412_,_073412_/Y,cell,pin
_073413_/A,_073413_,pin,cell
_073413_,_073413_/Y,cell,pin
_073414_/A,_073414_,pin,cell
_073414_,_073414_/Y,cell,pin
_073415_/A,_073415_,pin,cell
